ingredient,baseline_acc,icnn_acc,diff_acc,prec_base,prec_icnn,recBase,recModel,f1Base,f1Model,f1Diff,ingred_name
159,0.99691816,0.9963189134,-0.0005992467,0,0,0,0,0,0,0,
161,0.9960050223,0.9957482023,-0.00025682,0,0,0,0,0,0,0,
162,0.9969752311,0.9967469467,-0.0002282844,0,0,0,0,0,0,0,
164,0.9967469467,0.9962333067,-0.00051364,0,0,0,0,0,0,0,
165,0.9963189134,0.9957482023,-0.0005707111,0,0,0,0,0,0,0,
166,0.9915534756,0.9910969067,-0.0004565689,0,0,0,0,0,0,0,
167,0.9947779934,0.9942928889,-0.0004851044,0,0,0,0,0,0,0,
168,0.9894989156,0.9893847734,-0.0001141422,0,0,0,0,0,0,0,
169,0.9912966556,0.9909256934,-0.0003709622,0,0,0,0,0,0,0,
170,0.99512042,0.9947494578,-0.0003709622,0,0,0,0,0,0,0,
171,0.9965757334,0.9960620934,-0.00051364,0,0,0,0,0,0,0,
172,0.9799680402,0.9795685424,-0.0003994978,0,0,0,0,0,0,0,
173,0.9972035156,0.9970608378,-0.0001426778,0,0,0,0,0,0,0,
174,0.9938648556,0.9936365712,-0.0002282844,0,0,0,0,0,0,0,
176,0.9966328045,0.9964330556,-0.0001997489,0,0,0,0,0,0,0,
179,0.978569798,0.9784841913,-8.56066659057353E-05,0,0,0,0,0,0,0,
180,0.9941502112,0.9930658601,-0.0010843511,0,0,0,0,0,0,0,
181,0.987101929,0.9867309668,-0.0003709622,0,0,0,0,0,0,0,
182,0.9920100445,0.9917817601,-0.0002282844,0,0,0,0,0,0,0,
183,0.9454114827,0.9452688049,-0.0001426778,0,0,0,0,0,0,0,
185,0.9976315489,0.9974888711,-0.0001426778,0,0,0,0,0,0,0,
187,0.9934368223,0.9931514667,-0.0002853556,0,0,0,0,0,0,0,
188,0.9966898756,0.9964901267,-0.0001997489,0,0,0,0,0,0,0,
190,0.9957196667,0.99563406,-8.56066659057353E-05,0,0,0,0,0,0,0,
191,0.9713503025,0.9711505536,-0.0001997489,0,0,0,0,0,0,0,
